ID;County;Site_Name;Easting;Northing;Depth;New_Code;Sample_Date;pH;T;O(0);Eh;Alkalinity;N(-3);N(3);N(5);P;C(-4);Si;Cl;F;S(6);Na;K;Mg;Ca;Fe;Mn;B;Al;Cr;Ni;Cu;Zn;As;Cd;Sb;Ba;Pb;U;Hg;Co;Mo;Sr;Ag;Be
5601;Mayo;Glencastle SW1;76403;327888;;IE_WE_G_0057_2200_0032;06/07/10;7.5;13.8;nd;66;28;-0.026;-0.007;-0.36;-0.015;-1.5;6;34;-0.2;10;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
5602;Mayo;Drum Binghamstown;67350;331739;;IE_WE_G_0065_2200_0010;06/07/10;7.5;10.9;nd;7;163;0.122;0.066;1.46;0.022;4.8;3;70;-0.2;17;35;4;8;97;15;13;23;-5;-1;-1;-1;4;0.7;-0.1;-0.5;10;-0.5;0.2;-0.05;-0.5;-0.5;707;-0.5;-0.5
5603;Louth;Carlingford;319266;310896;;IE_NB_G_0015_2100_0003;07/07/10;7.2;11.3;nd;89;142;-0.026;-0.007;9.83;-0.015;-1.5;13;17;-0.2;14;10;1;6;87;-10;-1;21;-5;-1;-1;2;5;-0.5;-0.1;-0.5;5;-0.5;0.5;-0.05;-0.5;-0.5;407;-0.5;-0.5
5604;Monaghan;Monanny;284135;305450;;IE_NB_G_0016_2400_0006;07/07/10;7.1;11.2;nd;75;140;-0.026;-0.007;6.91;-0.015;-1.5;8;19;-0.2;13;11;2;7;86;-10;5;11;-5;-1;-1;1;2;-0.5;-0.1;-0.5;67;-0.5;0.9;-0.05;-0.5;-0.5;122;-0.5;-0.5
5605;Monaghan;Spring Lake;285998;303726;;IE_NB_G_0016_2400_0007;07/07/10;7.1;10.9;nd;77;195;-0.026;-0.007;11.2;-0.015;-1.5;8;16;-0.2;17;22;2;15;91;-10;-1;31;-5;-1;-1;2;9;1;-0.1;1;151;-0.5;2;-0.05;-0.5;-0.5;203;-0.5;-0.5
5606;Meath;Kilmainhamwood;277920;289350;;IE_NB_G_0019_2300_0007;07/07/10;7.3;11;nd;64;149;-0.026;-0.007;2.88;-0.015;-1.5;9;11;-0.2;6;9;0.8;24;52;-10;-1;-10;-5;-1;-1;4;5;-0.5;-0.1;-0.5;138;-0.5;0.8;-0.05;-0.5;-0.5;125;-0.5;-0.5
5607;Louth;Ardtullybeg;319518;306936;;IE_NB_G_0024_2100_0001;07/07/10;7.1;11;nd;86;178;-0.026;-0.007;20.9;-0.015;-1.5;16;25;-0.2;21;13;2;9;107;-10;-1;28;-5;-1;-1;4;7;-0.5;-0.1;-0.5;17;-0.5;0.7;-0.05;-0.5;-0.5;322;-0.5;-0.5
5608;Donegal;Gortinlieve GO1Deep;235710;417580;;IE_NW_G_0051_0600_0007;07/07/10;6.9;11.1;nd;-63;153;-0.026;-0.007;-0.36;-0.015;4.8;20;40;-0.2;11;17;2;4;82;4750;3000;-10;-5;-1;-1;-1;2;1;-0.1;-0.5;147;-0.5;3;-0.05;-0.5;-0.5;497;-0.5;-0.5
5609;Donegal;Gortinlieve GO1Shallow;235710;417580;;IE_NW_G_0051_0600_0008;07/07/10;6.4;11.7;nd;28;55;0.145;-0.007;-0.36;-0.015;4.3;13;23;-0.2;8;12;0.9;0.96;29;3480;2540;-10;-5;-1;5;2;39;2;-0.1;-0.5;104;-0.5;0.4;-0.05;2;-0.5;248;-0.5;-0.5
5610;Donegal;Gortinlieve GO2Deep;235920;417090;;IE_NW_G_0051_0600_0010;07/07/10;7;11;nd;159;89;-0.026;0.049;6.62;-0.015;-1.5;11;29;-0.2;20;16;2;9;47;-10;1650;-10;-5;-1;-1;4;28;-0.5;-0.1;-0.5;10;-0.5;2;-0.05;-0.5;-0.5;116;-0.5;-0.5
5611;Donegal;Gortinlieve GO2Shallow;235920;417090;;IE_NW_G_0051_0600_0012;07/07/10;6.7;10.2;nd;133;104;0.065;-0.007;-0.36;-0.015;1.6;10;38;-0.2;25;14;4;7;61;25;3700;20;-5;-1;-1;7;2;-0.5;-0.1;-0.5;9;-0.5;0.7;-0.05;3;-0.5;113;-0.5;-0.5
5612;Donegal;Gortinlieve GO2Transition;235920;417090;;IE_NW_G_0051_0600_0013;07/07/10;6.1;11.2;nd;165;40;-0.026;-0.007;15.28;-0.015;-1.5;5;22;-0.2;32;11;2;4;35;-10;4;37;-5;-1;1;1;1;-0.5;-0.1;-0.5;9;-0.5;0.1;-0.05;-0.5;-0.5;138;-0.5;-0.5
5613;Donegal;Gortinlieve SW1;236201;416761;;IE_NW_G_0051_0600_0018;07/07/10;7.5;14.1;nd;101;73;0.284;0.151;3.69;0.097;3.3;8;28;-0.2;32;13;4;7;37;25;46;-10;7;-1;1;1;4;-0.5;-0.1;-0.5;10;-0.5;2;-0.05;-0.5;-0.5;191;-0.5;-0.5
5614;Wexford;Carrickbyrne WS;283270;124270;;IE_SE_G_0001_3300_0002;07/07/10;6.1;11.5;nd;221;18;-0.026;-0.007;13.77;-0.015;-1.5;10;29;-0.2;9;16;1;5;10;-10;-1;11;6;-1;-1;6;8;-0.5;-0.1;-0.5;8;0.9;-0.1;-0.05;-0.5;-0.5;45;-0.5;-0.5
5615;Tipperary South;Coolnamuck;238688;121347;;IE_SE_G_0030_3700_0002;07/07/10;6.9;11.3;nd;272;128;-0.026;-0.007;8.02;0.038;-1.5;6;13;-0.2;6;7;0.8;5;82;-10;-1;11;-5;-1;-1;1;99;-0.5;-0.1;-0.5;12;-0.5;0.9;-0.05;-0.5;-0.5;107;-0.5;-0.5
5616;Waterford;Ballyduff/Kilmeaden WS;248279;110242;;IE_SE_G_0149_3800_0001;07/07/10;6;11.5;nd;218;30;-0.026;-0.007;19.88;-0.015;-1.5;6;20;-0.2;12;11;0.9;7;17;-10;-1;12;-5;-1;-1;-1;2;-0.5;-0.1;-0.5;1;-0.5;-0.1;-0.05;-0.5;-0.5;42;-0.5;-0.5
5617;Kilkenny;Pilltown WS;247761;125427;;IE_SE_G_0155_1500_0015;07/07/10;5.4;10.9;nd;214;10;-0.026;-0.007;20.33;-0.015;-1.5;6;18;-0.2;6;9;2;4;8;-10;3;-10;-5;-1;2;-1;4;-0.5;-0.1;-0.5;35;-0.5;-0.1;-0.05;-0.5;-0.5;31;-0.5;0.9
5618;Donegal;Pettigo;210540;368364;;IE_NW_G_0011_0600_0004;08/07/10;7.2;11.1;nd;33;183;0.03;-0.007;-0.36;-0.015;-1.5;12;21;-0.2;37;13;3;26;59;45;57;11;-5;-1;5;1;2;9;-0.1;2;46;-0.5;1;-0.05;3;1;277;-0.5;-0.5
